0.305: [GC [PSYoungGen: 3072K->482K(3584K)] 3072K->602K(8896K), 0.0046580 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.480: [GC [PSYoungGen: 3554K->504K(6656K)] 3674K->1000K(11968K), 0.0035970 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
0.756: [GC [PSYoungGen: 6648K->490K(6656K)] 7144K->1810K(11968K), 0.0046660 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
0.876: [GC [PSYoungGen: 6634K->488K(12800K)] 7954K->2592K(18112K), 0.0059440 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.963: [GC [PSYoungGen: 12776K->492K(12800K)] 14880K->4084K(18112K), 0.0066340 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
1.051: [GC [PSYoungGen: 12780K->2098K(26432K)] 16372K->5690K(31744K), 0.0054400 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
1.222: [GC [PSYoungGen: 26354K->2475K(26752K)] 29946K->8707K(33216K), 0.0114690 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
1.233: [Full GC [PSYoungGen: 2475K->2441K(26752K)] [PSOldGen: 6232K->6264K(13376K)] 8707K->8705K(40128K) [PSPermGen: 3444K->3444K(21248K)], 0.0671850 secs] [Times: user=0.07 sys=0.00, real=0.07 secs] 
1.465: [GC [PSYoungGen: 24256K->4209K(40256K)] 30520K->11569K(53632K), 0.0124730 secs] [Times: user=0.07 sys=0.01, real=0.01 secs] 
1.719: [GC [PSYoungGen: 40241K->5418K(51520K)] 47601K->16242K(64896K), 0.0153330 secs] [Times: user=0.10 sys=0.01, real=0.02 secs] 
1.734: [Full GC [PSYoungGen: 5418K->2803K(51520K)] [PSOldGen: 10824K->13375K(24576K)] 16242K->16179K(76096K) [PSPermGen: 3444K->3444K(21248K)], 0.0934750 secs] [Times: user=0.09 sys=0.01, real=0.09 secs] 
2.153: [GC [PSYoungGen: 46080K->7808K(53248K)] 59455K->21503K(77824K), 0.0630090 secs] [Times: user=0.46 sys=0.02, real=0.07 secs] 
2.502: [GC [PSYoungGen: 53248K->6959K(54656K)] 66943K->28495K(79232K), 0.0355300 secs] [Times: user=0.17 sys=0.01, real=0.04 secs] 
2.537: [Full GC [PSYoungGen: 6959K->2682K(54656K)] [PSOldGen: 21535K->24575K(40960K)] 28495K->27258K(95616K) [PSPermGen: 3444K->3444K(21248K)], 0.1424350 secs] [Times: user=0.14 sys=0.00, real=0.14 secs] 
2.984: [GC [PSYoungGen: 45440K->8160K(65728K)] 70015K->32735K(106688K), 0.0628220 secs] [Times: user=0.39 sys=0.01, real=0.06 secs] 
3.434: [GC [PSYoungGen: 63968K->10871K(66688K)] 88543K->41351K(107648K), 0.0323400 secs] [Times: user=0.21 sys=0.01, real=0.04 secs] 
3.825: [GC [PSYoungGen: 66679K->14839K(80512K)] 97159K->48119K(121472K), 0.0711230 secs] [Times: user=0.08 sys=0.01, real=0.07 secs] 
4.656: [GC [PSYoungGen: 80503K->11170K(84096K)] 113783K->57114K(132544K), 0.0381120 secs] [Times: user=0.26 sys=0.02, real=0.04 secs] 
4.694: [Full GC [PSYoungGen: 11170K->6361K(84096K)] [PSOldGen: 45943K->48447K(73152K)] 57114K->54809K(157248K) [PSPermGen: 3444K->3443K(21248K)], 0.3266270 secs] [Times: user=0.31 sys=0.02, real=0.32 secs] 
5.443: [GC [PSYoungGen: 65664K->13888K(99520K)] 114111K->62335K(172672K), 0.1038950 secs] [Times: user=0.62 sys=0.02, real=0.11 secs] 
6.166: [GC [PSYoungGen: 94528K->20160K(100800K)] 142975K->71887K(173952K), 0.1744360 secs] [Times: user=1.27 sys=0.02, real=0.17 secs] 
6.942: [GC [PSYoungGen: 100800K->24308K(117312K)] 152527K->86499K(190464K), 0.0560750 secs] [Times: user=0.35 sys=0.04, real=0.06 secs] 
6.998: [Full GC [PSYoungGen: 24308K->13164K(117312K)] [PSOldGen: 62191K->73151K(102464K)] 86499K->86316K(219776K) [PSPermGen: 3443K->3443K(21248K)], 0.4038010 secs] [Times: user=0.40 sys=0.00, real=0.40 secs] 
8.022: [GC [PSYoungGen: 92608K->23072K(121280K)] 165759K->96223K(223744K), 0.1981280 secs] [Times: user=1.42 sys=0.02, real=0.20 secs] 
8.919: [GC [PSYoungGen: 115680K->31424K(135488K)] 188831K->107343K(237952K), 0.2563480 secs] [Times: user=1.83 sys=0.04, real=0.25 secs] 
9.899: [GC [PSYoungGen: 128645K->37632K(141696K)] 204565K->118991K(244160K), 0.3365340 secs] [Times: user=2.53 sys=0.04, real=0.34 secs] 
11.027: [GC [PSYoungGen: 141696K->31469K(172032K)] 223055K->139037K(279872K), 0.1058050 secs] [Times: user=0.69 sys=0.05, real=0.10 secs] 
11.133: [Full GC [PSYoungGen: 31469K->31110K(172032K)] [PSOldGen: 107567K->101952K(141312K)] 139037K->133063K(313344K) [PSPermGen: 3443K->3443K(21248K)], 0.5988920 secs] [Times: user=0.59 sys=0.00, real=0.60 secs] 
12.464: [GC [PSYoungGen: 126080K->42829K(174464K)] 228032K->144782K(315776K), 0.0885860 secs] [Times: user=0.48 sys=0.02, real=0.09 secs] 
13.550: [GC [PSYoungGen: 168909K->15456K(199104K)] 270862K->160318K(345792K), 0.0981020 secs] [Times: user=0.62 sys=0.07, real=0.10 secs] 
13.648: [Full GC [PSYoungGen: 15456K->13479K(199104K)] [PSOldGen: 144862K->146687K(201792K)] 160318K->160167K(400896K) [PSPermGen: 3443K->3443K(21248K)], 0.6616370 secs] [Times: user=0.66 sys=0.00, real=0.66 secs] 
15.640: [GC [PSYoungGen: 150848K->30368K(202816K)] 297535K->177055K(404608K), 0.2725890 secs] [Times: user=1.90 sys=0.02, real=0.27 secs] 
16.979: [GC [PSYoungGen: 181216K->52452K(212416K)] 327903K->205524K(414208K), 0.0912950 secs] [Times: user=0.62 sys=0.07, real=0.09 secs] 
18.301: [GC [PSYoungGen: 212388K->19584K(223168K)] 365460K->225284K(430912K), 0.1110690 secs] [Times: user=0.81 sys=0.04, real=0.11 secs] 
18.412: [Full GC [PSYoungGen: 19584K->5206K(223168K)] [PSOldGen: 205700K->207743K(279360K)] 225284K->212950K(502528K) [PSPermGen: 3446K->3446K(21248K)], 0.9708480 secs] [Times: user=0.96 sys=0.01, real=0.97 secs] 
20.653: [GC [PSYoungGen: 159936K->24288K(230656K)] 367679K->232031K(510016K), 0.2327960 secs] [Times: user=1.76 sys=0.02, real=0.23 secs] 
22.328: [GC [PSYoungGen: 202336K->45920K(234880K)] 410079K->253663K(514240K), 0.3989190 secs] [Times: user=3.01 sys=0.05, real=0.40 secs] 
23.958: [GC [PSYoungGen: 223968K->61479K(245312K)] 431711K->290735K(524672K), 0.1293830 secs] [Times: user=0.91 sys=0.09, real=0.13 secs] 
25.376: [GC [PSYoungGen: 245287K->78823K(262656K)] 474543K->313143K(542016K), 0.1156460 secs] [Times: user=0.84 sys=0.02, real=0.12 secs] 
26.781: [GC [PSYoungGen: 262631K->44896K(292480K)] 496951K->335903K(584896K), 0.1476810 secs] [Times: user=0.97 sys=0.08, real=0.15 secs] 
26.928: [Full GC [PSYoungGen: 44896K->43222K(292480K)] [PSOldGen: 291007K->292415K(379840K)] 335903K->335638K(672320K) [PSPermGen: 3447K->3447K(21248K)], 1.3832150 secs] [Times: user=1.35 sys=0.01, real=1.38 secs] 
29.515: [GC [PSYoungGen: 205184K->63200K(295616K)] 497599K->355615K(675456K), 0.5527250 secs] [Times: user=4.22 sys=0.05, real=0.55 secs] 
31.605: [GC [PSYoungGen: 268384K->88160K(309440K)] 560799K->380575K(689280K), 0.8451330 secs] [Times: user=6.48 sys=0.12, real=0.85 secs] 
33.837: [GC [PSYoungGen: 303136K->106603K(321600K)] 595551K->429971K(701440K), 0.1822310 secs] [Times: user=1.43 sys=0.05, real=0.19 secs] 
35.633: [GC [PSYoungGen: 321579K->100747K(367168K)] 644947K->456547K(747008K), 0.1957980 secs] [Times: user=1.36 sys=0.08, real=0.20 secs] 
35.829: [Full GC [PSYoungGen: 100747K->57931K(367168K)] [PSOldGen: 355799K->379840K(474944K)] 456547K->437771K(842112K) [PSPermGen: 3451K->3451K(21248K)], 1.8407980 secs] [Times: user=1.81 sys=0.03, real=1.84 secs] 
38.999: [GC [PSYoungGen: 232576K->79552K(376192K)] 612416K->459392K(851136K), 0.7590800 secs] [Times: user=6.00 sys=0.06, real=0.76 secs] 
41.487: [GC [PSYoungGen: 312128K->107808K(394048K)] 691968K->487648K(868992K), 0.9485500 secs] [Times: user=7.27 sys=0.13, real=0.95 secs] 
44.282: [GC [PSYoungGen: 359200K->138368K(403136K)] 739040K->518208K(878080K), 1.2912190 secs] [Times: user=10.42 sys=0.15, real=1.29 secs] 
47.402: [GC [PSYoungGen: 389760K->61408K(448064K)] 769600K->549240K(936064K), 1.3890990 secs] [Times: user=10.68 sys=0.27, real=1.39 secs] 
48.792: [Full GC [PSYoungGen: 61408K->60894K(448064K)] [PSOldGen: 487832K->488000K(613568K)] 549240K->548894K(1061632K) [PSPermGen: 3451K->3451K(21248K)], 2.1580240 secs] [Times: user=2.13 sys=0.02, real=2.15 secs] 
52.621: [GC [PSYoungGen: 291136K->89184K(453440K)] 779136K->577184K(1067008K), 0.8139480 secs] [Times: user=6.21 sys=0.07, real=0.81 secs] 
55.305: [GC [PSYoungGen: 380320K->70608K(469120K)] 868320K->647984K(1082688K), 0.2580230 secs] [Times: user=1.82 sys=0.16, real=0.26 secs] 
55.563: [Full GC [PSYoungGen: 70608K->0K(469120K)] [PSOldGen: 577376K->608005K(755712K)] 647984K->608005K(1224832K) [PSPermGen: 3452K->3452K(21248K)], 2.6546670 secs] [Times: user=2.64 sys=0.01, real=2.65 secs] 
60.765: [GC [PSYoungGen: 327936K->40128K(479488K)] 935941K->648133K(1235200K), 0.3734850 secs] [Times: user=2.76 sys=0.07, real=0.37 secs] 
63.576: [GC [PSYoungGen: 368064K->80000K(503936K)] 976069K->688005K(1259648K), 0.7161380 secs] [Times: user=5.37 sys=0.13, real=0.71 secs] 
67.077: [GC [PSYoungGen: 442304K->124000K(507456K)] 1050309K->732005K(1263168K), 1.0244730 secs] [Times: user=7.94 sys=0.14, real=1.02 secs] 
70.775: [GC [PSYoungGen: 486304K->128192K(548160K)] 1094309K->776277K(1303872K), 1.5761390 secs] [Times: user=12.14 sys=0.27, real=1.57 secs] 
75.234: [GC [PSYoungGen: 519040K->93216K(559232K)] 1167125K->825605K(1314944K), 1.5901330 secs] [Times: user=12.37 sys=0.20, real=1.59 secs] 
76.825: [Full GC [PSYoungGen: 93216K->69512K(559232K)] [PSOldGen: 732389K->755712K(916800K)] 825605K->825224K(1476032K) [PSPermGen: 3452K->3452K(21248K)], 3.2789540 secs] [Times: user=3.24 sys=0.04, real=3.28 secs] 
82.498: [GC [PSYoungGen: 390848K->109824K(601088K)] 1146560K->865536K(1517888K), 1.0176230 secs] [Times: user=7.85 sys=0.10, real=1.01 secs] 
86.342: [GC [PSYoungGen: 546880K->107129K(603008K)] 1302592K->972881K(1519808K), 0.3348760 secs] [Times: user=2.48 sys=0.15, real=0.33 secs] 
86.677: [Full GC [PSYoungGen: 107129K->106945K(603008K)] [PSOldGen: 865752K->865752K(1053056K)] 972881K->972697K(1656064K) [PSPermGen: 3452K->3452K(21248K)], 3.5755780 secs] [Times: user=3.54 sys=0.03, real=3.57 secs] 
92.317: [GC [PSYoungGen: 437056K->148601K(635200K)] 1302808K->1014353K(1688256K), 0.3800000 secs] [Times: user=2.39 sys=0.24, real=0.38 secs] 
95.670: [GC [PSYoungGen: 617913K->180665K(649984K)] 1483665K->1073329K(1703040K), 0.3033230 secs] [Times: user=2.17 sys=0.21, real=0.30 secs] 
98.799: [GC [PSYoungGen: 649977K->59168K(713664K)] 1542641K->1133017K(1789568K), 0.4071810 secs] [Times: user=2.66 sys=0.32, real=0.40 secs] 
99.207: [Full GC [PSYoungGen: 59168K->56826K(713664K)] [PSOldGen: 1073849K->1075903K(1305024K)] 1133017K->1132730K(2018688K) [PSPermGen: 3452K->3452K(21248K)], 4.1122610 secs] [Times: user=4.08 sys=0.03, real=4.11 secs] 
106.692: [GC [PSYoungGen: 506816K->113728K(717824K)] 1582719K->1189631K(2022848K), 1.0760720 secs] [Times: user=8.15 sys=0.12, real=1.07 secs] 
111.572: [GC [PSYoungGen: 620544K->177408K(731712K)] 1696447K->1253311K(2036736K), 1.6926480 secs] [Times: user=12.93 sys=0.33, real=1.69 secs] 
117.055: [GC [PSYoungGen: 704256K->222528K(749376K)] 1780159K->1319471K(2054400K), 2.0393910 secs] [Times: user=15.73 sys=0.25, real=2.04 secs] 
122.325: [GC [PSYoungGen: 663922K->185280K(829888K)] 1760866K->1375199K(2134912K), 2.4236600 secs] [Times: user=18.77 sys=0.41, real=2.42 secs] 
124.749: [Full GC [PSYoungGen: 185280K->26811K(829888K)] [PSOldGen: 1189919K->1305023K(1532544K)] 1375199K->1331835K(2362432K) [PSPermGen: 3453K->3453K(21248K)], 5.7766910 secs] [Times: user=5.68 sys=0.09, real=5.78 secs] 
134.010: [GC [PSYoungGen: 569024K->173461K(839168K)] 1874047K->1478485K(2371712K), 0.4380480 secs] [Times: user=3.36 sys=0.08, real=0.44 secs] 
138.669: [GC [PSYoungGen: 742485K->245077K(867520K)] 2047509K->1550101K(2400064K), 0.3801180 secs] [Times: user=2.73 sys=0.24, real=0.38 secs] 
143.521: [GC [PSYoungGen: 840085K->299893K(894912K)] 2145109K->1624765K(2427456K), 0.4175500 secs] [Times: user=3.49 sys=0.09, real=0.42 secs] 
148.188: [GC [PSYoungGen: 894901K->349109K(930752K)] 2219773K->1699829K(2463296K), 0.4482750 secs] [Times: user=3.55 sys=0.31, real=0.44 secs] 
153.006: [GC [PSYoungGen: 930741K->223104K(990848K)] 2281461K->1773661K(2542976K), 0.5452340 secs] [Times: user=4.44 sys=0.21, real=0.55 secs] 
153.551: [Full GC [PSYoungGen: 223104K->221053K(990848K)] [PSOldGen: 1550557K->1552127K(1814016K)] 1773661K->1773181K(2804864K) [PSPermGen: 3453K->3453K(21248K)], 6.9383230 secs] [Times: user=6.84 sys=0.09, real=6.94 secs] 
163.314: [GC [PSYoungGen: 581632K->266976K(1016000K)] 2133759K->1819103K(2830016K), 2.3152390 secs] [Times: user=18.20 sys=0.16, real=2.32 secs] 
170.401: [GC [PSYoungGen: 881696K->344224K(1024064K)] 2433823K->1896351K(2838080K), 3.1380210 secs] [Times: user=27.27 sys=0.29, real=3.13 secs] 
178.197: [GC [PSYoungGen: 958944K->421504K(1059968K)] 2511071K->1973631K(2873984K), 3.6020090 secs] [Times: user=28.10 sys=0.57, real=3.60 secs] 
186.514: [GC [PSYoungGen: 1038464K->497920K(1114880K)] 2590591K->2051143K(2928896K), 3.9850680 secs] [Times: user=31.03 sys=0.47, real=3.98 secs] 
194.109: [GC [PSYoungGen: 1114880K->570288K(1127104K)] 2668103K->2246600K(2941120K), 0.8352430 secs] [Times: user=7.01 sys=0.41, real=0.84 secs] 
194.945: [Full GC [PSYoungGen: 570288K->341122K(1127104K)] [PSOldGen: 1676311K->1814015K(2083008K)] 2246600K->2155138K(3210112K) [PSPermGen: 3453K->3453K(21248K)], 8.6206070 secs] [Times: user=8.47 sys=0.15, real=8.62 secs] 
205.170: [GC [PSYoungGen: 556800K->368960K(1256896K)] 2370815K->2182975K(3339904K), 3.4144080 secs] [Times: user=26.83 sys=0.28, real=3.41 secs] 
212.539: [GC [PSYoungGen: 925760K->438912K(1291712K)] 2739775K->2252927K(3374720K), 3.9609140 secs] [Times: user=31.01 sys=0.33, real=3.96 secs] 
